,Estacion,R2,R2adj,Pearson
0,8015021,0.8112547310714611,0.8112100219206179,0.9029676478684374
0,8019043,0.9088661391014679,0.9088445517125125,0.9542117409534201
0,8019044,0.9219457512278585,0.9219272620800133,0.9604735533028813
0,8019050,0.7889857606432218,0.7889357765164088,0.8904788406560401
0,8019054,0.9235674559084306,0.9235493509028719,0.9614147187557041
0,8019057,0.903761686372416,0.9037388898631032,0.9511982249106183
0,8019058,0.8378810065742869,0.837842604538714,0.9164781139601026
0,8089005,0.864066536503732,0.8640343371815524,0.9309134110494699
0,8125002,0.925645754365461,0.9256281416581186,0.9622737768111371
0,8169009,0.9307927649309187,0.9307763714248471,0.9649029695575955
0,8194008,0.8695598288347133,0.8695289307395093,0.9333940023352998
0,8205002,0.9119733837837608,0.9119525324252872,0.955101884430138
0,8263001,0.9347892070462489,0.934773760199844,0.9669056426735558
0,8301004,0.8834490647983823,0.8834214567244293,0.9411128748824475
